wavelength,S1,S2
380,0.0,0.00010587390136328225
390,0.0,1.6213746043508644e-06
400,0.0,5.2236836248738916e-05
410,0.0,0.0007218919412709093
420,1.0158761939467124e-06,0.005641060021979859
430,0.0,0.009296525824700499
440,0.0,0.0024739801252486484
450,0.0,0.0007399102536067466
460,1.259810357557144e-06,0.0002165103869701745
470,2.49431183571891e-06,8.698253967645674e-05
480,2.170806025089538e-05,5.369466338742983e-05
490,7.146648915035043e-05,2.7494554442432122e-05
500,0.00031610485270765757,3.438553966445476e-05
510,0.0009438777534932569,3.259987786079038e-05
520,0.002230639408492207,6.572979801662222e-05
530,0.003006057579362775,0.00012599597224592442
540,0.0017521971522931612,0.0003215066208308413
550,0.0010507613508595535,0.0006795415656091792
560,0.0005806462079517427,0.0013305361816799124
570,0.00032454433511204615,0.0024131580799827824
580,0.00022992161694445427,0.0030653740597701897
590,0.000361197228591765,0.0035163438211701734
600,0.001091626560160485,0.003785774426013172
610,0.002887177887451813,0.004586887014002275
620,0.008271149101071696,0.0076104144314866565
630,0.021608939109051328,0.012559067430905471
640,0.025147167812915195,0.012877919630150666
650,0.0048548357325713795,0.0033668251738654476
660,0.0008545719681150686,0.0013431195490644582
670,0.00021505560306394478,0.0008826576406558781
680,5.757679326538545e-05,0.0007367249775053655
690,3.292468422427497e-05,0.0005198315850607312
700,2.2290246201065016e-05,0.0003716850718452755
710,7.337795294630063e-06,0.00027407471783025706
720,1.5758440442201686e-05,0.000192261721309775
730,6.351020259325683e-06,0.00011567267688477723
740,1.347086699262923e-05,9.137390619543504e-05
750,0.0,7.23054721723561e-05
760,1.0776497489965229e-05,5.053103128907688e-05
770,2.3541102688343935e-06,3.441607122388942e-05
780,8.153246762238208e-06,4.813164575593899e-05
