,SÐ,S+,DL
Wavelength [nm],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)]
651,4.18E-03,2.83E-03,1.96E-06
652,3.50E-03,2.59E-03,1.80E-06
653,2.92E-03,2.36E-03,1.41E-06
654,2.40E-03,2.13E-03,9.30E-07
655,2.04E-03,1.98E-03,1.23E-06
656,1.70E-03,1.85E-03,1.35E-06
657,1.41E-03,1.73E-03,1.18E-06
658,1.18E-03,1.63E-03,1.14E-06
659,9.66E-04,1.55E-03,1.12E-06
660,8.36E-04,1.47E-03,1.02E-06
661,7.17E-04,1.39E-03,8.70E-07
662,6.08E-04,1.32E-03,6.71E-07
663,5.27E-04,1.26E-03,7.55E-07
664,4.56E-04,1.21E-03,8.36E-07
665,3.99E-04,1.17E-03,7.68E-07
666,3.48E-04,1.12E-03,6.42E-07
667,3.00E-04,1.06E-03,4.78E-07
668,2.57E-04,1.02E-03,6.94E-07
669,2.21E-04,9.83E-04,8.25E-07
670,1.98E-04,9.49E-04,7.88E-07
671,1.75E-04,9.22E-04,7.53E-07
672,1.54E-04,8.97E-04,7.42E-07
673,1.41E-04,8.64E-04,9.62E-07
674,1.25E-04,8.37E-04,9.15E-07
675,1.06E-04,8.18E-04,5.67E-07
676,9.94E-05,7.89E-04,8.27E-07
677,9.29E-05,7.58E-04,1.03E-06
678,7.76E-05,7.27E-04,6.21E-07
679,6.63E-05,7.00E-04,5.27E-07
680,5.79E-05,6.77E-04,6.48E-07
681,6.11E-05,6.52E-04,7.98E-07
682,5.85E-05,6.34E-04,7.18E-07
683,4.39E-05,6.29E-04,1.96E-07
684,4.08E-05,6.12E-04,3.34E-07
685,4.16E-05,5.90E-04,6.86E-07
686,3.79E-05,5.59E-04,6.20E-07
687,3.41E-05,5.36E-04,6.57E-07
688,3.03E-05,5.23E-04,8.08E-07
689,3.13E-05,5.09E-04,8.01E-07
690,3.20E-05,4.96E-04,7.67E-07
691,2.85E-05,4.83E-04,7.35E-07
692,2.02E-05,4.68E-04,5.23E-07
693,8.92E-06,4.51E-04,1.96E-07
694,2.23E-05,4.40E-04,7.48E-08
695,2.85E-05,4.24E-04,0.00E+00
696,2.13E-05,3.98E-04,0.00E+00
697,1.72E-05,3.89E-04,0.00E+00
698,1.53E-05,3.85E-04,4.66E-08
699,2.12E-05,3.63E-04,4.22E-07
700,2.04E-05,3.52E-04,4.90E-07
701,1.31E-05,3.50E-04,2.59E-07
702,1.46E-05,3.39E-04,4.60E-07
703,1.56E-05,3.27E-04,7.14E-07
704,1.26E-05,3.10E-04,9.67E-07
705,1.66E-05,3.01E-04,1.04E-06
706,2.39E-05,2.97E-04,1.00E-06
707,1.84E-05,2.88E-04,9.74E-07
708,1.35E-05,2.77E-04,9.20E-07
709,9.62E-06,2.64E-04,8.34E-07
710,7.54E-06,2.57E-04,7.02E-07
711,7.05E-06,2.51E-04,6.18E-07
712,1.15E-05,2.39E-04,7.84E-07
713,1.25E-05,2.33E-04,7.59E-07
714,1.09E-05,2.30E-04,5.90E-07
715,1.29E-05,2.20E-04,8.49E-07
716,1.32E-05,2.11E-04,8.88E-07
717,9.68E-06,2.07E-04,4.70E-07
718,1.27E-05,1.97E-04,2.17E-07
719,1.73E-05,1.84E-04,4.18E-08
720,1.51E-05,1.76E-04,1.38E-08
721,1.15E-05,1.70E-04,1.41E-08
722,6.71E-06,1.66E-04,4.20E-08
723,7.63E-06,1.63E-04,2.01E-08
724,7.25E-06,1.60E-04,7.86E-09
725,1.80E-06,1.56E-04,3.59E-08
726,3.67E-06,1.53E-04,2.63E-08
727,8.85E-06,1.49E-04,0.00E+00
728,9.79E-06,1.42E-04,0.00E+00
729,9.16E-06,1.35E-04,0.00E+00
730,6.59E-06,1.28E-04,0.00E+00
731,1.21E-05,1.26E-04,2.11E-07
732,1.61E-05,1.25E-04,4.43E-07
733,1.00E-05,1.20E-04,6.11E-07
734,8.74E-06,1.18E-04,6.92E-07
735,1.04E-05,1.19E-04,7.15E-07
736,1.39E-05,1.16E-04,4.63E-07
737,1.26E-05,1.09E-04,3.37E-07
738,4.21E-06,9.76E-05,3.93E-07
739,9.28E-06,9.23E-05,4.27E-07
740,1.48E-05,8.96E-05,4.71E-07
741,8.66E-06,9.08E-05,5.82E-07
742,5.61E-06,8.94E-05,6.62E-07
743,4.66E-06,8.62E-05,7.20E-07
744,2.11E-06,8.23E-05,7.77E-07
745,3.94E-07,8.04E-05,8.23E-07
746,7.11E-08,8.16E-05,8.51E-07
747,0.00E+00,8.03E-05,7.28E-07
748,0.00E+00,7.84E-05,6.21E-07
749,0.00E+00,7.77E-05,7.93E-07
750,0.00E+00,7.43E-05,8.36E-07
751,0.00E+00,6.89E-05,7.82E-07
752,0.00E+00,6.46E-05,9.78E-07
753,2.46E-07,6.16E-05,1.11E-06
754,9.15E-07,6.05E-05,1.12E-06
755,5.58E-07,6.03E-05,1.10E-06
756,1.71E-07,5.97E-05,1.09E-06
757,1.18E-06,5.56E-05,1.15E-06
758,1.24E-06,5.40E-05,1.23E-06
759,5.66E-07,5.43E-05,1.33E-06
760,9.86E-06,5.07E-05,1.74E-06
761,1.56E-05,4.96E-05,1.83E-06
762,1.46E-05,5.34E-05,1.32E-06
763,1.23E-05,5.25E-05,1.47E-06
764,9.98E-06,5.01E-05,1.76E-06
765,9.65E-06,4.66E-05,1.83E-06
766,7.50E-06,4.54E-05,2.07E-06
767,4.00E-06,4.59E-05,2.44E-06
768,1.22E-05,4.93E-05,2.27E-06
769,1.32E-05,4.68E-05,2.31E-06
770,2.30E-06,3.46E-05,2.72E-06
771,0.00E+00,3.74E-05,2.91E-06
772,6.98E-08,4.13E-05,3.07E-06
773,4.29E-07,3.38E-05,3.30E-06
774,2.52E-06,3.38E-05,3.64E-06
775,5.76E-06,3.88E-05,4.06E-06
776,7.61E-06,3.87E-05,4.56E-06
777,1.07E-05,4.11E-05,4.90E-06
778,1.55E-05,4.71E-05,5.03E-06
779,1.29E-05,5.02E-05,5.56E-06
780,8.15E-06,5.00E-05,6.12E-06
