"λ, nm",FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8
559,14.174,15.846,16.221999999999998,15.839999999999998,15.054,16.902,12.552,11.766
560,14.33,16.16,16.63,16.33,15.2,17.22,12.58,11.76
561,14.466,16.44,17.002,16.799999999999997,15.314,17.482,12.608,11.762
562,14.602,16.72,17.374,17.27,15.427999999999999,17.744,12.636000000000001,11.764
563,14.738,17.0,17.746,17.74,15.542,18.006,12.664,11.766
564,14.874,17.279999999999998,18.118,18.21,15.655999999999999,18.268,12.692,11.767999999999999
565,15.01,17.56,18.49,18.68,15.77,18.53,12.72,11.77
566,15.112,17.772,18.782,19.072,15.836,18.71,12.742,11.783999999999999
567,15.214,17.983999999999998,19.073999999999998,19.464,15.902000000000001,18.89,12.764000000000001,11.798
568,15.315999999999999,18.196,19.366,19.856,15.968,19.07,12.786,11.812
569,15.418,18.408,19.657999999999998,20.248,16.034000000000002,19.25,12.808,11.826
570,15.52,18.62,19.95,20.64,16.1,19.43,12.83,11.84
571,16.073999999999998,19.19,20.582,21.368000000000002,16.588,19.938,13.356,12.394
572,16.628,19.76,21.214,22.096,17.076,20.445999999999998,13.882,12.948
573,17.182,20.33,21.846,22.824,17.564,20.954,14.408000000000001,13.501999999999999
574,17.736,20.9,22.477999999999998,23.552,18.052,21.462,14.934000000000001,14.056
575,18.29,21.47,23.11,24.28,18.54,21.97,15.46,14.61
576,18.541999999999998,21.733999999999998,23.426,24.676000000000002,18.732,22.178,15.718,14.91
577,18.794,21.997999999999998,23.742,25.072000000000003,18.924,22.386,15.976,15.209999999999999
578,19.046,22.262,24.058,25.468,19.116,22.594,16.234,15.51
579,19.298000000000002,22.526,24.374000000000002,25.864,19.308,22.802,16.492,15.809999999999999
580,19.55,22.79,24.69,26.26,19.5,23.01,16.75,16.11
581,18.736,22.09,24.034000000000002,25.664,18.678,22.290000000000003,15.966,15.356
582,17.922,21.39,23.378,25.068,17.856,21.57,15.182,14.602
583,17.108,20.689999999999998,22.722,24.472,17.034,20.85,14.398,13.847999999999999
584,16.294,19.99,22.066,23.876,16.212,20.13,13.614,13.094
585,15.48,19.29,21.41,23.28,15.39,19.41,12.83,12.34
586,15.366,19.163999999999998,21.298000000000002,23.212,15.24,19.24,12.798,12.378
587,15.252,19.038,21.186,23.144000000000002,15.09,19.07,12.766,12.416
588,15.138,18.912,21.074,23.076,14.940000000000001,18.9,12.734,12.453999999999999
589,15.024000000000001,18.786,20.962,23.008000000000003,14.790000000000001,18.73,12.702,12.491999999999999
590,14.91,18.66,20.85,22.94,14.64,18.56,12.67,12.53
591,14.758000000000001,18.474,20.666,22.78,14.456000000000001,18.332,12.626,12.568
592,14.606,18.288,20.482,22.62,14.272,18.104,12.581999999999999,12.606
593,14.454,18.102,20.298000000000002,22.46,14.088000000000001,17.876,12.538,12.644
594,14.302,17.916,20.114,22.3,13.904,17.648,12.494,12.682
595,14.15,17.73,19.93,22.14,13.72,17.42,12.45,12.72
596,13.964,17.492,19.678,21.894000000000002,13.514000000000001,17.154,12.398,12.76
597,13.778,17.254,19.426000000000002,21.648,13.308,16.888,12.346,12.8
598,13.592,17.016,19.174,21.402,13.102,16.622,12.293999999999999,12.84
599,13.406,16.778,18.922,21.156,12.895999999999999,16.356,12.241999999999999,12.88
600,13.22,16.54,18.67,20.91,12.69,16.09,12.19,12.92
601,13.014000000000001,16.274,18.380000000000003,20.614,12.466,15.8,12.129999999999999,12.959999999999999
602,12.808,16.008,18.09,20.318,12.241999999999999,15.51,12.07,13.0
603,12.602,15.742,17.8,20.022,12.018,15.22,12.01,13.04
604,12.395999999999999,15.476,17.509999999999998,19.726,11.794,14.93,11.950000000000001,13.08
605,12.19,15.21,17.22,19.43,11.57,14.64,11.89,13.12
606,11.975999999999999,14.928,16.906,19.092,11.346,14.342,11.832,13.164
607,11.761999999999999,14.646,16.592,18.753999999999998,11.122,14.044,11.774000000000001,13.208
608,11.548,14.364,16.278,18.416,10.898,13.746,11.716,13.251999999999999
609,11.334,14.082,15.964,18.078,10.674,13.448,11.658,13.296
