Wavelength [nm],Illuminant FL1,Illuminant FL2,Illuminant FL3,Illuminant FL4,Illuminant FL5,Illuminant FL6,Illuminant FL7,Illuminant FL8,Illuminant FL9,Illuminant FL10,Illuminant FL11,Illuminant FL12,Illuminant FL3.1,Illuminant FL3.2,Illuminant FL3.3,Illuminant FL3.4,Illuminant FL3.5,Illuminant FL3.6,Illuminant FL3.7,Illuminant FL3.8,Illuminant FL3.9,Illuminant FL3.10,Illuminant FL3.11,Illuminant FL3.12,Illuminant FL3.13,Illuminant FL3.14,Illuminant FL3.15,Illuminant LED-B1,Illuminant LED-B2,Illuminant LED-B3,Illuminant LED-B4,Illuminant LED-B5,Illuminant LED-BH1,Illuminant LED-RGB1,Illuminant LED-V1,Illuminant LED-V2,Illuminant HP1,Illuminant HP2,Illuminant HP3,Illuminant HP4,Illuminant HP5
505,12.2,7.15,4.62,2.98,11.61,6.2,13.25,12.44,9.88,3.34,2.33,1.49,13.25,34.9,56.29,27.77,53.88,63.24,6.72,11.08,13.15,6.83,17.41,43.16,56.95,73.82,527,6.05,6.72,9.82,7.27,9.45,5.64,14.61,9.54,13.21,2.90,17.21,30.72,41.16,59.76
510,11.83,7.05,4.62,3.01,11.33,6.19,13.08,12.55,10.04,2.35,1.47,0.92,13.53,34.7,54.81,32.68,53.62,62.46,4.59,7.66,8.8,5.58,12.56,41.63,52.7,69.12,507,6.70,7.44,10.52,8.94,10.88,7.49,18.01,9.75,13.05,2.10,17.12,27.13,32.93,48.47
515,11.5,7.04,4.73,3.14,11.1,6.3,12.93,12.68,10.26,1.88,1.1,0.71,14.24,35.02,53.42,38.29,53.25,61.41,3.67,6.07,6.7,4.88,10.1,39.75,48.54,63.69,482,7.34,8.11,11.06,10.60,12.22,9.25,20.24,9.91,12.88,13.39,27.26,29.55,32.13,48.38
520,11.22,7.16,4.99,3.41,10.96,6.6,12.78,12.77,10.48,1.59,0.89,0.6,15.74,36.13,52.7,43.76,53.09,60.47,3.02,5.07,5.38,4.31,8.48,37.83,44.8,58.44,461,7.98,8.74,11.51,12.11,13.38,10.82,20.57,10.06,12.74,2.10,20.02,34.22,34.45,48.70
525,11.05,7.47,5.48,3.9,10.97,7.12,12.6,12.72,10.63,1.47,0.83,0.63,18.26,37.92,52.5,47.72,52.88,59.48,3.21,4.88,4.93,3.76,7.74,36.16,41.75,53.57,438,8.64,9.39,11.93,13.36,14.29,12.11,19.22,10.26,12.68,2.00,21.54,29.98,30.12,44.25
530,11.03,8.04,6.25,4.69,11.16,7.94,12.44,12.6,10.78,1.8,1.18,1.1,22.28,40.62,53.3,50.27,52.99,58.65,4.9,6.26,6.06,3.61,8.58,35.25,39.77,49.66,418,9.31,10.06,12.37,14.30,14.98,13.08,16.93,10.51,12.70,2.20,23.36,41.21,41.13,54.42
535,11.18,8.88,7.34,5.81,11.54,9.07,12.33,12.43,10.96,5.71,4.9,4.56,27.97,44.7,54.89,51.78,53.15,57.93,19.05,20.29,19.76,5.62,21.39,37.04,40.5,48.44,404,10.02,10.75,12.83,15.02,15.48,13.66,14.58,10.82,12.77,2.30,25.66,173.14,187.10,128.93
540,11.53,10.01,8.78,7.32,12.12,10.49,12.26,12.22,11.18,40.98,39.59,34.4,35.7,49.63,57.61,52.68,53.67,57.49,177.64,204.67,215.94,38.59,220.12,59.86,59.27,72.56,429,10.76,11.49,13.31,15.54,15.81,14.01,12.61,11.17,12.91,2.60,29.69,141.37,101.37,81.26
545,27.74,24.88,23.82,22.59,27.78,25.22,29.52,28.96,27.71,73.69,72.84,65.4,148.98,154.16,182.75,167.36,167.93,175.17,347.34,390.25,412.13,100,417.35,183.53,184.09,200.42,1016,11.53,12.25,13.79,15.90,16.01,14.19,11.09,11.55,13.04,5.10,43.12,64.98,123.96,67.36
550,17.05,16.64,16.14,15.11,17.73,17.46,17.05,16.51,16.29,33.61,32.61,29.48,56.55,62.21,65.27,55.29,55.61,57.27,116.8,135.69,142.39,36.54,146.13,59.03,59.06,65,581,12.38,13.05,14.26,16.15,16.10,14.28,9.93,11.92,13.16,11.39,98.30,33.83,42.47,48.48
555,13.55,14.59,14.59,13.88,14.47,15.63,12.44,11.79,12.28,8.24,7.52,7.16,68.68,68.92,69.41,56.94,56.82,57.49,31.87,34.57,34.74,10.57,36.67,47.93,49.95,47.49,370,13.28,13.86,14.68,16.33,16.13,14.27,9.11,12.30,13.26,15.48,125.60,34.26,34.73,51.41
560,14.33,16.16,16.63,16.33,15.2,17.22,12.58,11.76,12.74,3.38,2.83,3.08,79.99,75.83,73.28,59.3,58.39,57.99,16.37,15.71,14.76,2.98,16.51,48.67,50.9,44.14,368,14.23,14.70,15.08,16.42,16.10,14.19,8.60,12.68,13.35,20.78,134.57,33.32,31.82,48.88
565,15.01,17.56,18.49,18.68,15.77,18.53,12.72,11.77,13.21,2.47,1.96,2.47,91.47,81.95,76.56,62.15,60.22,58.76,14.92,12.6,10.99,2.05,12.56,52.69,54.51,44.71,371,15.20,15.50,15.42,16.44,15.98,14.03,8.31,13.07,13.42,55.64,149.70,52.80,54.67,68.52
570,15.52,18.62,19.95,20.64,16.1,19.43,12.83,11.84,13.65,2.14,1.67,2.27,101.32,86.95,78.67,65.26,62.21,59.64,14.12,11.05,9.25,1.84,10.81,57.24,58.33,46.01,377,16.20,16.28,15.72,16.36,15.77,13.82,8.21,13.52,13.52,254.03,166.12,74.29,57.45,80.85
575,18.29,21.47,23.11,24.28,18.54,21.97,15.46,14.61,16.57,4.86,4.43,5.09,123.16,103.54,95.74,84.26,81.45,78.77,29.5,25.05,23.5,6.09,25.31,77.75,77.49,63.52,490,17.19,17.00,15.97,16.20,15.50,13.59,8.24,14.06,13.64,56.14,98.77,47.97,70.43,65.96
580,19.55,22.79,24.69,26.26,19.5,23.01,16.75,16.11,18.14,11.45,11.28,11.96,129.53,109.94,97.22,89.22,84.96,81.26,61.4,54.98,53.05,17.27,53.31,87.81,85.78,71.73,525,18.14,17.69,16.18,15.98,15.15,13.35,8.42,14.70,13.83,111.78,30.47,49.20,69.50,59.43
585,15.48,19.29,21.41,23.28,15.39,19.41,12.83,12.34,14.55,14.79,14.76,15.32,115.05,91.95,76.79,75.79,68.71,63.18,85.05,82.84,81.9,21.77,80.75,80.55,76.2,63.52,402,19.02,18.31,16.37,15.70,14.76,13.20,8.74,15.46,14.07,297.98,1.17,96.07,49.37,67.57
590,14.91,18.66,20.85,22.94,14.64,18.56,12.67,12.53,14.65,12.16,12.73,14.27,113.48,89.85,73.36,79.19,70.7,64.29,64.86,58.22,54.92,18.72,53.56,84.83,78.73,64.13,404,19.78,18.83,16.50,15.36,14.31,13.19,9.25,16.38,14.42,142.55,0.39,85.41,183.35,128.34
595,14.15,17.73,19.93,22.14,13.72,17.42,12.45,12.72,14.66,8.97,9.74,11.86,110.08,87.15,69.33,82.8,73.01,65.78,65.01,53.06,47.8,10.15,44.02,86.84,78.95,63.74,412,20.38,19.24,16.55,14.93,13.79,13.46,10.00,17.39,14.82,334.84,1.65,175.18,162.15,131.85
600,13.22,16.54,18.67,20.91,12.69,16.09,12.19,12.92,14.61,6.52,7.33,9.28,104.28,83.26,64.23,85.76,74.69,66.77,53.17,41.44,36.65,7.26,33.05,91.44,81.48,66.82,418,20.80,19.51,16.50,14.44,13.22,14.31,11.10,18.50,15.26,189.40,21.41,153.73,109.35,101.70
605,12.19,15.21,17.22,19.43,11.57,14.64,11.89,13.12,14.5,8.31,9.72,12.31,97.98,78.93,58.92,88.62,76.26,67.77,34.22,25.26,21.82,5.17,20.26,96.51,84.57,70.65,425,21.00,19.59,16.32,13.86,12.59,16.15,12.74,19.51,15.64,117.78,76.11,120.22,72.38,77.05
610,11.12,13.8,15.65,17.74,10.45,13.15,11.6,13.34,14.39,44.12,55.27,68.53,89.6,73.93,53.38,91.12,77.68,68.6,427.27,329.89,285.69,56.66,233.61,105.25,87.75,79.29,428,20.97,19.48,16.00,13.24,11.91,19.49,15.35,20.52,16.03,79.92,126.16,98.90,70.60,66.27
615,10.03,12.36,14.04,16,9.35,11.68,11.35,13.61,14.4,34.55,42.58,53.02,80.74,68.84,47.91,93.43,78.67,69.1,201.1,161.29,139.94,49.39,118.2,106.74,89.56,80.77,432,20.71,19.19,15.54,12.57,11.20,25.07,19.43,21.52,16.40,108.09,161.96,90.22,58.08,77.09
